quote_id,author,quote_text,primary_tag,tag_count,scraped_at,source_site
quote-001,Albert Einstein,"The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.",change,4,2026-04-13T09:00:00,quotes.toscrape.com
quote-002,J.K. Rowling,"It is our choices, Harry, that show what we truly are, far more than our abilities.",abilities,2,2026-04-13T09:03:00,quotes.toscrape.com
quote-003,Albert Einstein,"There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.",inspirational,5,2026-04-13T09:05:00,quotes.toscrape.com
quote-004,Jane Austen,"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",,4,2026-04-13T09:08:00,quotes.toscrape.com
quote-005,Marilyn Monroe,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",,,2026-04-13T09:10:00,quotes.toscrape.com
quote-006,Albert Einstein,"Try not to become a man of success. Rather become a man of value.",adulthood,3,2026-04-13T09:12:00,quotes.toscrape.com
quote-007,,"It is better to be hated for what you are than to be loved for what you are not.",love,2,2026-04-13T09:15:00,quotes.toscrape.com
quote-008,Thomas A. Edison,"I have not failed. I've just found 10,000 ways that won't work.",edison,4,2026-04-13T09:18:00,quotes.toscrape.com
quote-009,Eleanor Roosevelt,"A woman is like a tea bag; you never know how strong it is until it's in hot water.",,1,2026-04-13T09:21:00,quotes.toscrape.com
quote-010,Steve Martin,"A day without sunshine is like, you know, night.",,25,2026-04-13T09:24:00,quotes.toscrape.com
quote-002,J.K. Rowling,"It is our choices, Harry, that show what we truly are, far more than our abilities.",abilities,2,2026-04-13T09:03:00,quotes.toscrape.com
